brand,name,shifterPartNumber,shifterName,shifterBrand,shifterSpeeds,shifterCablePull,shifterType,shifterSide,derailleurPartNumber,derailleurName,derailleurBrand,derailleurDesignSpeeds,derailleurPullRatio,derailleurSupportsMultipleFrontChainrings,cassettePartNumber,cassetteName,cassetteBrand,cassetteSpeeds,cassettePitch,cassetteMinMaxToothAvailable,cassetteMaxToothAvailable,confidence,supported,confidence_too_low,max_chain_angle_too_high,barrel_adjuster_too_low,least_pull_too_low,not_enough_range_on_derailleur,smallest_cassette_too_big_official_max_tooth,smallest_cassette_too_big_unofficial_max_tooth,smallest_cassette_too_big_with_goat_link,smallest_cassette_too_big,maxChainAngle,motionMultiplier,numberOfShiftsMatchesCogs,moreCogsThanShifts,failedAnyCriteria
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,0.1414679609586913,False,False,False,False,False,False,False,,,False,0.4641314754714743,1.0787826675744137,True,False,False
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,0.5989742758517882,False,False,False,False,False,False,False,,,False,0.053650833317525126,1.0521460584985025,False,True,False
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,0.1414679609586913,False,False,False,False,False,False,False,,,False,0.4565233903886254,1.0787826675744137,False,True,False
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,0.5350450531103217,False,False,False,False,False,False,False,,,False,0.07661531190333294,1.0548097194060935,False,True,False
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,0.1414679609586913,False,False,False,False,False,False,False,,,False,0.4496168185650431,1.0787826675744137,False,True,False
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,0.09968030359854779,False,False,False,False,False,False,False,,,False,0.2426126523227601,0.990881857623906,False,True,False
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,0.17286221234543359,False,False,False,False,False,False,False,,,False,0.14691297547378315,0.9988728403466794,False,True,False
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,0.021025031322683865,False,True,False,False,False,False,True,,,True,0.38019819539559063,0.972236231270768,False,True,True
Mixed,Campagnolo Daytona 9-Speed shifter/Microshift Advent X 10-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6205AM,Advent X,Microshift,10,1.05,False,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,6.7941778970827e-24,False,True,True,False,False,False,False,,,False,3.064962781153901,1.31966204528187,True,False,True
Mixed,Campagnolo Daytona 9-Speed shifter/Microshift Advent X 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6205AM,Advent X,Microshift,10,1.05,False,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,4.1471381004975584e-19,False,True,True,False,False,False,False,,,False,2.5567243396669426,1.287077797250219,False,True,True
